,SMILES,Value
283,c1c(C(=O)OCC(C)C)c(C(=O)OCC(C)C)ccc1,705.15
284,CCCCCCCCCCCCCCCCCC(=O)OCCCC,623.15
285,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,638.15
286,C=CC(=O)OCC(CC)CCCC,525.15
287,CC(=O)OCCOC(C)=O,755.15
288,CC(C)COC(=O)C(=C)C,663.15
289,C=C(C)C(=O)OCCCC,567.15
290,c1c(C(=O)OC)cccc1,778.15
291,c1c(C(=O)OCC)cccc1,763.15
292,COC(=O)C1CCC(C(=O)OC)CC1,661.15
293,CCOCC,433.15
294,CC(C)OC(C)C,716.0
295,CCCCOCCCC,467.15
296,COC(C)(C)C,733.0
297,COCC,463.15
298,CCCCCCOCCCCCC,458.15
299,C=COC=C,633.15
300,C1OCCOC1,453.15
301,C1OCOCO1,687.0
302,CCCCCCCCOCCCCCCCC,478.15
303,CCCCCOCCCCC,444.0
304,COC(C)(C)CC,733.15
305,COCOC,510.15
306,CCOC(C)OCC,503.15
307,CCOC(OCC)OCC,453.15
308,C1OC1,702.0
309,CC1OC1,703.15
310,CCOC=C,474.82
311,CCCOCCC,488.15
312,CCCCOC=C,498.15
313,COCCOCCOCCOC,464.0
314,COCCOC,474.816
315,COCCOCCOC,461.0
316,CCOCCOCCOCC,478.15
317,CCCCOCCOCCOCCCC,476.0
318,c1ccccc1(Oc1ccccc1),891.15
319,C=COC,560.15
320,CCC1CO1,712.15
321,c1ccccc1(C(C)(C)OO),422.039
322,C1=COC=C1,663.15
323,C1COCC1,497.15
324,c1ccccc1(C(=O)OOC(=O)c1ccccc1),376.0
325,CC1OCCO1,489.15
326,O(CCO1)C1,518.15
327,C[Cl],905.0
328,C=CCl,745.0
329,ClCCl,888.15
330,CC(Cl)Cl,731.15
331,ClCCCl,686.0
332,C(Cl)(Cl)CCl,733.15
333,C(Cl)C(Cl)C,828.15
334,C(Cl)(Cl)(Cl)C,810.15
335,C(Cl)(C)C,866.0
336,C(Cl)C(Cl)C(Cl),577.0
337,C(Cl)=C(Cl)Cl,683.15
338,C=CC(Cl),758.15
339,C(Cl)(Cl)=C(Cl)C(Cl)=C(Cl)(Cl),883.15
340,c1ccccc1(CCl),858.15
341,c1ccccc1(Cl),911.0
342,c1(Cl)ccccc1(Cl),921.0
343,Cl/C=C/Cl,733.0
344,C=C(Cl)C=C,593.15
345,CCCCl,793.15
346,CCCCCl,733.0
347,CCCCCCl,533.0
348,C=C(Cl)Cl,843.0
349,c1(Cl)c(Cl)cc(Cl)cc1,844.2609999999999
350,ClC(F)F,905.0
351,FC(F)=C,913.0
352,FC(F)=C(F)F,473.15
353,BrC(Br)C(Br)Br,608.15
354,BrCCBr,763.15
355,c1(Br)ccccc1,838.15
356,ClC(F)Cl,825.15
357,CN,703.15
358,CN(C)C,463.15
359,CCN,658.15
360,CCN(CC)CC,522.15
361,CCCNCCC,572.15
362,CCNCC,583.15
363,CCCN,593.15
364,CCCCN,583.15
365,CC(C)CN,651.15
366,NN,543.15
367,CC(C)CNCC(C)C,521.65
368,CC(C)N,673.15
369,NCCO,683.15
370,OCCNCCO,935.0
371,CC(C)(C)N,648.15
372,C1(N)CCCCC1,566.15
373,C1C[C@](C)(CN)([C@@]2([H])(CCC3=CC(C(C)C)=CC=C3C2(C)C1)),494.0
374,c1(C)c(N)cccc1,755.15
375,c1(C)cc(N)ccc1,755.15
376,c1(C)ccc(N)cc1,753.15
377,NCCNCCNCCN,608.15
378,C=CCN,643.15
379,NCCN,658.15
380,C1CN1,593.15
381,CC(C)NC(C)C,588.705
382,c1(cccn2)c2cccc1,753.15
383,c1ccccc1N(CC)CC,605.15
384,n1(C)cccc1,863.15
385,c1ccccc1Nc2ccccc2,907.0
386,c1(NN)ccccc1,447.15
387,C[N+](=O)[O-],652.15
388,CC[N+](=O)[O-],633.15
389,CC([N+](=O)[O-])C,701.0
390,N#CCCO,768.0
391,C1NCCOC1,583.15
392,C#N,811.15
393,CC#N,798.15
394,CCC#N,788.15
395,C=CC#N,754.0
396,N#CCCCCC#N,823.15
397,c1(C)c([N+](=O)[O-])cccc1,578.15
398,c1(C)ccc([N+](=O)[O-])cc1,663.15
399,CCCC#N,773.15
400,CC(C)C#N,753.15
401,n1ccccc1,755.0
402,c1(N)ccccc1,890.15
403,C1CCCCCN1,603.15
404,c1(N(C)C)ccccc1,643.15
405,n1c(C)cccc1,808.15
406,CCS,572.0
407,C1(S)CCCCC1,783.15
408,CSC,478.15
409,CS(=O)C,488.15
410,CC(=O)Cl,663.15
411,ClCCOCCCl,642.15
412,CSCCC=O,528.15
413,CN(C)C=O,718.15
414,N1CCCCCC1=O,668.15
415,ClCC1CO1,689.15
416,CC(C)(O)C#N,960.15
417,c1([N+](=O)[O-])ccccc1,755.0
418,CC(O)CC=O,523.15
419,O1C=CC=C1(C=O),589.0
420,CC(=O)OC(C)COC,627.15
421,N,924.0
422,S,533.15
423,[S],505.0
424,[P],303.0
425,S1P2(SP3(SP1(=S)SP(S3)(=S)S2)=S)=S,415.0
426,Cl[SiH2]Cl,317.15
427,Cl[SiH](Cl)Cl,455.15
428,S=C=S,363.15
