,SMILES,Value
239,C1OCCOC1,2.0
240,C1OCOCO1,3.6
241,CCOC(C)(C)C,1.03
242,COCOC,2.54
243,CCOC(C)OCC,1.6
244,CC1(C)CO1,1.5
245,C1OC1,3.0
246,CC1OC1,2.2
247,C1CCO1,2.8
248,CCOC=C,1.67
249,COCCOC,1.6
250,c1ccccc1(OC),1.2
251,c1ccccc1(OCC),1.0
252,c1ccccc1(Oc1ccccc1),0.8
253,C=COC,2.6
254,c1ccccc1(C(C)(C)OO),0.9
255,C1=COC=C1,2.0
256,C1COCC1,2.0
257,CC(C)(C)OOC(C)(C)C,0.7399999999999999
258,C[Cl],8.099999999999998
259,CC[Cl],3.8
260,C=CCl,3.6
261,ClC/C=C/CCl,1.5
262,C[Hg]Cl,2.1
263,ClCCl,14.0
264,CC(Cl)Cl,5.4
265,ClCCCl,4.5
266,C(Cl)(Cl)CCl,6.8
267,C(Cl)C(Cl)C,3.3
268,C(Cl)(Cl)(Cl)C,7.5
269,C(Cl)(C)C,2.8
270,CC(C)CCl,2.0
271,C(Cl)=C(Cl)Cl,12.0
272,C=CC(Cl),2.71
273,c1ccccc1(CCl),1.1
274,c1ccccc1(Cl),1.3
275,c1(Cl)ccccc1(Cl),2.2
276,c1(C)ccccc1(Cl),1.3
277,c1cc(C)ccc1(Cl),1.3
278,Cl/C=C\Cl,6.8
279,Cl/C=C/Cl,6.8
280,C=C(Cl)C=C,2.5
281,CCCCl,2.6
282,CCCCCl,1.8
283,CCCCCCl,1.4
284,C=C(Cl)Cl,6.5
285,c1(Cl)c(Cl)cc(Cl)cc1,2.5
286,CC(Cl)=C,4.5
287,C=CC(Cl)CCl,2.5
288,ClCF,14.4
289,FC(F)(F)C(F)(F)OC,10.5
290,CF,7.1
291,FCF,13.3
292,CCF,3.15
293,FC(F)(F)C,7.4
294,FC(F)=C,4.7
295,FC(F)=C(F)F,10.0
296,FC(F)C,4.35
297,CBr,10.1
298,CCBr,6.8
299,CC(Br)C,3.2
300,CCCCBr,2.6
301,CI,8.5
302,CN,4.9
303,CNC,2.8
304,CN(C)C,2.0
305,CCN,2.7
306,CCN(CC)CC,1.2
307,CCCNCCC,0.87
308,CCNCC,1.7
309,CCCN,2.0
310,CCCCCN,1.32
311,NN,4.67
312,CC(C)N,2.0
313,C1=CC=CN1,2.0
314,OCCNCCO,1.7
315,CC(C)(C)N,1.7
316,C=CCN,2.03
317,NCCN,2.5
318,C1CN1,3.6
319,CCCCNCCCC,0.8399999999999999
320,C[N+](=O)[O-],7.3
321,CC[N+](=O)[O-],3.4
322,CCC[N+](=O)[O-],2.2
323,CC([N+](=O)[O-])C,2.5
324,N#CCCO,2.3
325,C1NCCOC1,1.67
326,C1CCCN1,1.6
327,C#N,5.6
328,CC#N,3.0
329,CCC#N,2.4
330,C=CC#N,3.05
331,C=C(C)C#N,1.89
332,c1(C)c([N+](=O)[O-])cccc1,2.2
333,c1(C)ccc([N+](=O)[O-])cc1,1.6
334,CCCC#N,1.57
335,CCCCC#N,1.45
336,CCCCCC#N,1.0
337,CC(C)C#N,1.57
338,C/C=C/C#N,1.7
339,c1(C#N)ccccc1,0.9
340,n1ccccc1,1.8
341,c1(N)ccccc1,1.3
342,C1=CC(=C(C=C1N=C=O)N=C=O)C,0.9
343,C1CCCCCN1,1.58
344,c1(N(C)C)ccccc1,1.2
345,n1c(C)cccc1,1.4
346,C/C=C\C#N,1.7
347,N#CC#N,6.6
348,CS,3.9
349,CCS,2.8
350,CSC,2.2
351,S1C=CC=C1,1.5
352,S1CCCC1,1.1
353,CS(=O)C,2.6
354,CC(=O)Cl,7.3
355,c1(C(=O)Cl)ccccc1,1.2
356,ClCCOCCCl,2.0
357,CN(C)C=O,2.3
358,ClCC1CO1,2.5
359,CC(C)(O)C#N,2.2
360,O1C=CC=C1(C=O),2.1
361,O=C=S,6.15
362,CC(=O)OC(C)COC,1.3
363,N,15.0
364,S,4.0
365,[S],2.0
366,Cl[SiH2]Cl,4.7
367,Cl[SiH](Cl)Cl,7.0
368,S=C=S,1.3
369,C[Si](C)(C)N[Si](C)(C)C,0.8
370,C[Si](C)(C)O[Si](C)(C)C,0.8
371,O1[Si](C)(C)O[Si](C)(C)O[Si]1(C)(C),0.8
372,[H][B]1([H])[H][B]([H])([H])[H]1,0.8
373,C[Si](C)(C)C,1.0
374,[Si]1(C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.75
375,CC(C)CC(O)CC(C)C,0.6999999999999998
376,CCCCC(CC)C(=O)O,0.9
377,CCCCCCOC=O,1.1
378,C1(OC(=O)C)CCCCC1,1.0
379,C1C(C)OC(=O)O1,1.9
380,c1(C(=O)OCC)c(C(=O)OCC)cccc1,0.75
381,c1(C(=O)OCCCC)c(C(=O)OCCCC)cccc1,0.5
382,c1(C(=O)OC)c(C(=O)OC)cccc1,0.9
383,CC(C)COC(=O)C=C,1.2
384,CC(C)COCC(C)C,0.9
385,CCC(Cl)Cl,3.1
386,C=C(Cl)CCl,3.31
387,C=CC(F)(F)F,4.7
388,FC(F)CF,6.2
389,C(F)(F)C(F)(F)C(F),7.7
390,FCCF,4.15
391,C(Cl)(Cl)(F)C,9.0
392,c1(C)ccc(Br)cc1,1.35
393,ClC(F)=C(F)F,8.4
394,C=CBr,6.6
395,ClC(F)(F)C,6.2
396,C=CF,3.41
397,CCCCCCCCN,0.69
398,CCCCCCCCCN,0.5999999999999999
399,CCCCN(CCCC)CCCC,0.44
400,CCCN(CCC)CCC,0.6999999999999998
401,CCCCN=C=O,1.3
402,c1(N)c(N)cccc1,1.5
403,C=CCNCC=C,0.93
404,c1(N)ccc(N)cc1,1.5
405,CN=C=O,5.3
406,n1cc(C)ccc1,1.3
407,N#CC(C)CCC#N,0.2999999999999999
408,n1ccc(C)cc1,1.3
409,O=C=NCCCCCCN=C=O,0.9
410,C1C(=O)[C@@]2(C)(CCC1C2(C)(C)),0.5999999999999999
411,CNC=O,3.8
412,CC(=O)CC(C)(O)C,1.8
413,O1C(CO)=CC=C1,1.8
414,CC(=O)N(C)C,1.8
415,OCCOC,2.4
416,CCOCCO,1.7
417,CCCCOCCO,1.1
418,COCCOCCO,1.38
419,CCOCCOCCO,1.2
420,NCCOCCO,2.0
421,CC(O)C(=O)OC,2.2
422,ClCCO,4.9
423,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.9
424,CC(=O)C=C,2.1
425,CC(C)C(=O)OC(=O)C(C)C,1.09
426,CC(F)(F)CC(F)(F)F,3.8
427,C(F)(F)(F)C(F)=C,6.2
428,NCCCN(C)C,1.9
429,CN(C)CCN(C)C,1.0
430,c1(N)ccc(cc1)c2ccc(N)cc2,1.4
431,c1(NCC)ccccc1,1.6
432,CC(C)(C)OCC(O)C,1.7
433,CCCOCCOCCO,0.8499999999999999
434,c1(N)ccc(Cl)cc1,2.2
435,CC(O)COC(C)COCCC,0.9
436,CCCCOCCOCCOC(=O)C,0.76
