,SMILES,Value
405,c1cc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)cc1,489.0
406,CC(=O)OCCCCC,310.15
407,CC(=O)OCC(CC)CCCC,344.15
408,CC(=O)OCc1ccccc1,363.15
409,CC(C)COC(=O)C(C)C,311.15
410,CC(C)CC(=O)OCCC(C)C,333.15
411,CCCCOC(=O)c1ccccc1,379.15
412,C1OC(=O)OC1,425.0
413,CC(=O)OCCCCCCCC,356.15
414,CC(=O)OCCCCCCCCC,372.15
415,CC(=O)OCCCCCCCCCC,386.5
416,c1cc(C(=O)OC)c(O)cc1,369.0
417,c1c(C(=O)OCC(C)C)c(C(=O)OCC(C)C)ccc1,444.5
418,c1c(C(=O)OC)cc(C(=O)OC)cc1,411.15
419,CCCCCCCCCCCCCCCCCC(=O)OCCCC,433.15
420,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,470.15
421,CCCCOC(=O)CCC,323.15
422,C=CC(=O)OCC(CC)CCCC,355.15
423,CC(=O)OCCOC(C)=O,361.15
424,CC(C)COC(=O)C(=C)C,314.15
425,C=C(C)C(=O)OCCCC,322.0
426,c1c(C(=O)OC)cccc1,352.5
427,c1c(C(=O)OCC)cccc1,361.15
428,CCOC(=O)OCC,298.15
429,CCOC(=O)C(=O)OCC,348.15
430,CCOC(=O)CC(=O)OCC,358.15
431,CCCCCCCCCC(=O)OC,367.15
432,CCCCCCCCCCCCCC(=O)OC(C)C,424.5
433,COC(=O)C1CCC(C(=O)OC)CC1,405.15
434,O(C(CC1)C)C1,262.15
435,CCOCC,228.15
436,CC(C)OC(C)C,245.0
437,COC(C)(C)C,244.15
438,CCC(C)OC(C)CC,285.65
439,COCC,236.0
440,CCCCCCOCCCCCC,354.65
441,C=COC=C,226.15
442,CCOCCC,253.15
443,CC=Cc1ccc(OC)cc1,362.15
444,C1OCCOC1,284.15
445,C1OCOCO1,318.15
446,CC(C)(C)OC(C)(C)C,275.65
447,CCCCCCCCOCCCCCCCC,412.0
448,CCCCCOCCCCC,330.15
449,COC(C)CC,243.0
450,COC(C)(C)CC,262.15
451,CCOC(C)(C)C,253.15
452,COCOC,241.15
453,CCOC(C)OCC,286.15
454,CCOC(OCC)OCC,308.15
455,CCOO,305.65
456,CC1(C)CO1,241.15
457,CC1OC1,236.0
458,CCCCOC=C,272.0
459,COCCOCCOCCOC,383.15
460,COCCOC,271.48
461,COCCOCCOC,330.15
462,COCCOCCOCCOCCOC,414.15
463,CCOCCOCCOCC,344.15
464,CCCCOCCOCCOCCCC,391.15
465,c1ccccc1(OC),318.65
466,c1ccccc1(OCC),328.0
467,c1ccccc1(COCc1ccccc1),408.15
468,C=CCOCC1(OC1),321.15
469,c1ccccc1(Oc1ccccc1),388.15
470,COC(C)OC,256.15
471,C=COC,217.15
472,CCC1CO1,258.15
473,CC(C)(C)OO,299.82
474,c1ccccc1(C(C)(C)OOC(C)(C)c1ccccc1),344.15
475,C1OCC=C1,257.15
476,C1=COC=C1,237.0
477,C1COCC1,259.15
478,c1cccc2c3ccccc3Oc21,403.15
479,CC(C)(C)OOC(C)(C)C,277.15
480,c1cccc2oc(C)cc21,340.15
481,CC(OC)COC,273.15
482,O(CCO1)C1,268.15
483,c2ccc1occc1c2,329.15
484,ClC/C=C/CCl,326.15
485,ClCCCCCl,325.15
486,CC(Cl)Cl,263.15
487,ClCCCl,286.0
